timestamp,run_id,from_cloud,from_region,to_cloud,to_region,bitrate_Bps,avgrtt
2022-02-03T19:15:48Z,jafuko,GCP,us-west4,GCP,us-west3,293732352.0,21.099
2022-02-03T19:15:48Z,jafuko,GCP,us-west2,GCP,us-west3,82182144.0,14.425
2022-02-03T19:15:48Z,jafuko,GCP,us-west4,GCP,us-east4,24117248.0,61.189
2022-02-03T19:15:46Z,jafuko,GCP,us-east4,GCP,us-west2,265682944.0,69.219
2022-02-03T19:15:48Z,jafuko,GCP,us-west1,GCP,us-east4,129892352.0,57.347
2022-02-03T19:15:46Z,jafuko,GCP,us-east4,GCP,us-west3,347602944.0,45.743
2022-02-03T19:15:47Z,jafuko,GCP,us-west3,GCP,us-west4,467664896.0,21.1
2022-02-03T19:15:48Z,jafuko,GCP,us-west4,GCP,us-west1,111673344.0,31.638
2022-02-03T19:15:46Z,jafuko,GCP,us-east4,GCP,us-west4,268959744.0,61.603
2022-02-03T19:15:47Z,jafuko,GCP,us-west3,GCP,us-west2,553910272.0,14.384
2022-02-03T19:15:48Z,jafuko,GCP,us-west2,GCP,us-west4,671350784.0,7.776
2022-02-03T19:25:49Z,bikuqo,AWS,eu-north-1,AWS,ca-central-1,79298560.0,106.37
2022-02-03T19:25:50Z,bikuqo,AWS,eu-north-1,AWS,us-west-2,54525952.0,160.964
2022-02-03T19:25:54Z,bikuqo,AWS,sa-east-1,AWS,us-east-2,65404928.0,122.971
2022-02-03T19:25:51Z,bikuqo,AWS,us-east-2,AWS,us-west-2,164233216.0,52.335
2022-02-03T19:25:53Z,bikuqo,AWS,us-west-2,AWS,eu-north-1,51773440.0,161.008
2022-02-03T19:25:51Z,bikuqo,AWS,us-east-2,AWS,ca-central-1,356253696.0,23.858
2022-02-03T19:25:51Z,bikuqo,AWS,ca-central-1,AWS,us-west-2,136314880.0,62.685
2022-02-03T19:25:53Z,bikuqo,AWS,us-west-2,AWS,us-east-2,173146112.0,52.325
2022-02-03T19:25:52Z,bikuqo,AWS,ca-central-1,AWS,sa-east-1,67633152.0,124.208
2022-02-03T19:25:54Z,bikuqo,AWS,sa-east-1,AWS,eu-north-1,38141952.0,213.342
2022-02-03T19:25:54Z,bikuqo,AWS,sa-east-1,AWS,us-west-2,46923776.0,182.084
2022-02-03T19:25:51Z,bikuqo,AWS,us-east-2,AWS,sa-east-1,66584576.0,122.619
2022-02-03T19:25:50Z,bikuqo,AWS,eu-north-1,AWS,us-east-2,69730304.0,118.805
2022-02-03T19:25:52Z,bikuqo,AWS,ca-central-1,AWS,eu-north-1,80084992.0,106.387
2022-02-03T19:25:53Z,bikuqo,AWS,us-west-2,AWS,ca-central-1,133169152.0,62.65
2022-02-03T19:25:51Z,bikuqo,AWS,us-east-2,AWS,eu-north-1,70516736.0,118.815
2022-02-03T19:25:52Z,bikuqo,AWS,us-west-2,AWS,sa-east-1,48234496.0,182.173
2022-02-03T19:25:51Z,bikuqo,AWS,ca-central-1,AWS,us-east-2,331481088.0,23.825
2022-02-03T19:25:54Z,bikuqo,AWS,sa-east-1,AWS,ca-central-1,67108864.0,124.202
2022-02-03T19:25:50Z,bikuqo,AWS,eu-north-1,AWS,sa-east-1,38928384.0,213.434
2022-02-03T19:30:59Z,bikuqo,AWS,eu-west-1,GCP,asia-east2,100532224.0,255.792
2022-02-03T19:31:01Z,bikuqo,AWS,us-east-1,GCP,asia-east1,145752064.0,182.543
2022-02-03T19:31:07Z,bikuqo,GCP,asia-east2,AWS,eu-west-2,36175872.0,228.192
