timestamp,run_id,from_cloud,from_region,to_cloud,to_region,bitrate_Bps,avgrtt,gcp_vm,aws_vm
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-southeast1,AWS,eu-west-2,43253760,202.258,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-west3,GCP,northamerica-northeast2,306708480,96.252,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,australia-southeast2,AWS,ap-northeast-2,51380224,165.964,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-southeast2,GCP,australia-southeast2,287047680,95.650,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-northeast-3,AWS,eu-north-1,32112640,239.933,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-north1,GCP,northamerica-northeast2,237371392,122.735,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,us-central1,AWS,ca-central-1,287965184,29.578,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,northamerica-northeast1,GCP,europe-west4,343277568,89.185,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,australia-southeast1,AWS,eu-west-2,31195136,263.620,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-west3,GCP,asia-southeast1,140378112,192.802,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,australia-southeast1,GCP,asia-southeast2,273022976,108.666,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,us-central1,AWS,eu-north-1,71696384,124.098,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,australia-southeast2,GCP,europe-west3,89260032,285.919,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-south2,AWS,eu-west-2,52428800,172.099,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-north-1,GCP,asia-southeast1,112066560,223.282,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-west-1,AWS,eu-north-1,211025920,42.942,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-west6,GCP,southamerica-east1,134086656,205.154,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,sa-east-1,AWS,ap-southeast-2,26214400,311.861,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,australia-southeast1,GCP,europe-north1,87687168,301.312,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,southamerica-east1,GCP,asia-south2,72089600,342.331,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-central-1,GCP,europe-west3,4561174528,3.464,e2-small,t3.nano
